Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-08-10 15:50:07.836 +0530,"Success",0:00:00,0,0,0,"20220810_155007.836/LogFile.txt","","",1
2022-08-10 15:51:16.821 +0530,"Success",0:00:00,0,0,0,"20220810_155116.821/LogFile.txt","","",1
